[2023-11-05 12:38:22.997] [pxr_streamer] [info] ***********  Log Begin **********
[2023-11-05 12:38:22.998] [pxr_streamer] [info] process id= 47376
[2023-11-05 12:38:22.998] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x92af9360
[2023-11-05 12:38:22.999] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x92af9360
[2023-11-05 12:38:22.999] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x92af9360
[2023-11-05 12:38:26.025] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x92af9360
[2023-11-05 12:38:29.058] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x92af9360
[2023-11-05 12:38:32.083] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x92af9360
[2023-11-05 12:38:35.115] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x92af9360
[2023-11-05 12:38:38.142] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x92af9360
[2023-11-05 12:38:41.160] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x92af9360
[2023-11-05 12:38:44.167] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x92af9360
[2023-11-05 12:38:47.195] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x92af9360
[2023-11-05 12:38:50.231] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x92af9360
