[2023-10-04 11:20:05.165] [pxr_streamer] [info] ***********  Log Begin **********
[2023-10-04 11:20:05.165] [pxr_streamer] [info] process id= 50920
[2023-10-04 11:20:05.165] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x6e137750
[2023-10-04 11:20:05.167] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x6e137750
[2023-10-04 11:20:05.167] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x6e137750
[2023-10-04 11:20:08.203] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x6e137750
[2023-10-04 11:20:11.246] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x6e137750
[2023-10-04 11:20:14.297] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x6e137750
[2023-10-04 11:20:17.344] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x6e137750
[2023-10-04 11:20:20.394] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x6e137750
[2023-10-04 11:20:23.444] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x6e137750
[2023-10-04 11:20:26.487] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x6e137750
[2023-10-04 11:20:29.521] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x6e137750
[2023-10-04 11:20:32.556] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x6e137750
